city,state_id,state_name,county_name,lat,lng,zips,id
Neshkoro,WI,Wisconsin,Marquette,43.9649,-89.2159,54960,1840002596
Asher,OK,Oklahoma,Pottawatomie,34.9884,-96.9254,74826,1840020442
Bangor,CA,California,Butte,39.3761,-121.4117,95966 95901 95914,1840025562
Bradenville,PA,Pennsylvania,Westmoreland,40.3236,-79.3403,15620,1840026429
Rome,PA,Pennsylvania,Bradford,41.8574,-76.3415,18837,1840000516
Fort Gay,WV,West Virginia,Wayne,38.1201,-82.5950,25514,1840006261
Coupland,TX,Texas,Williamson,30.4568,-97.3979,78615 76574,1840036411
Kimmell,IN,Indiana,Noble,41.3949,-85.5487,46760 46767,1840026314
Hillsville,PA,Pennsylvania,Lawrence,41.0078,-80.4967,16132 16116,1840099727
La Madera,NM,New Mexico,Sandoval,35.2345,-106.3340,87047,1840153122
Dudleyville,AZ,Arizona,Pinal,32.9127,-110.7345,85192,1840019358
Summerville,PA,Pennsylvania,Jefferson,41.1163,-79.1880,15864,1840003473
Biggers,AR,Arkansas,Randolph,36.3319,-90.8052,72413,1840015295
Ramah,NM,New Mexico,McKinley,35.1263,-108.5063,87321,1840019090
Naknek,AK,Alaska,Bristol Bay,58.7847,-156.8966,99633,1840023273
Draper,VA,Virginia,Pulaski,37.0012,-80.7372,24324,1840024801
San Perlita,TX,Texas,Willacy,26.5010,-97.6397,78580 78590,1840022259
Eakly,OK,Oklahoma,Caddo,35.3055,-98.5560,73033,1840021765
Long Branch,PA,Pennsylvania,Washington,40.0984,-79.8801,15423,1840003658
Ferndale,FL,Florida,Lake,28.6220,-81.7014,34715 34729,1840014044
Brunson,SC,South Carolina,Hampton,32.9241,-81.1886,29911,1840015764
Cunningham,KS,Kansas,Kingman,37.6447,-98.4312,67035,1840007585
Cedar Creek,AZ,Arizona,Gila,33.9030,-110.1929,85941,1840022861
Connecticut Farms,NJ,New Jersey,Union,40.6930,-74.2716,07083,1840149434
Sardis,OH,Ohio,Monroe,39.6266,-80.9059,43946,1840026608
Desert Shores,CA,California,Imperial,33.4041,-116.0394,92274,1840019370
North Creek,NY,New York,Warren,43.6923,-73.9835,12853,1840026145
Tacna,AZ,Arizona,Yuma,32.7004,-113.9618,85356 85352,1840019357
Cushman,AR,Arkansas,Independence,35.8658,-91.7782,72501 72526,1840014510
Bridgewater,SD,South Dakota,McCook,43.5502,-97.4984,57319,1840002657
